"product_category_name","valor_venda"
"beleza_saude","$1,441,248.07"
"relogios_presentes","$1,305,541.61"
"cama_mesa_banho","$1,241,681.72"
"esporte_lazer","$1,156,656.48"
"informatica_acessorios","$1,059,272.40"
"moveis_decoracao","$902,511.79"
"utilidades_domesticas","$778,397.77"
"cool_stuff","$719,329.95"
"automotivo","$685,384.32"
"ferramentas_jardim","$584,219.21"
"brinquedos","$561,372.55"
"bebes","$480,118.00"
"perfumaria","$453,338.71"
"telefonia","$394,883.32"
"moveis_escritorio","$342,532.65"
"papelaria","$277,741.71"
"pet_shop","$253,876.65"
"pcs","$232,799.43"
"instrumentos_musicais","$210,137.37"
NULL,"$207,705.09"
"eletronicos","$206,825.06"
"eletroportateis","$206,668.83"
"fashion_bolsas_e_acessorios","$184,273.54"
"consoles_games","$177,293.24"
"malas_acessorios","$170,875.21"
"construcao_ferramentas_construcao","$165,328.00"
"eletrodomesticos_2","$123,917.92"
"casa_construcao","$96,920.36"
"eletrodomesticos","$94,990.43"
"moveis_sala","$86,884.73"
"agro_industria_e_comercio","$78,374.07"
"casa_conforto","$67,073.27"
"telefonia_fixa","$64,220.81"
"climatizacao","$61,774.19"
"moveis_cozinha_area_de_servico_jantar_e_jardim","$58,327.80"
"audio","$56,398.94"
"livros_interesse_geral","$56,052.40"
"portateis_casa_forno_e_cafe","$50,193.57"
"construcao_ferramentas_iluminacao","$48,663.80"
"industria_comercio_e_negocios","$47,554.29"
"construcao_ferramentas_seguranca","$44,463.62"
"alimentos","$36,664.44"
"market_place","$33,834.53"
"construcao_ferramentas_jardim","$31,027.29"
"fashion_calcados","$28,481.64"
"artes","$28,247.81"
"bebidas","$28,169.95"
"sinalizacao_e_seguranca","$28,017.05"
"moveis_quarto","$24,661.01"
"livros_tecnicos","$23,379.12"
"alimentos_bebidas","$19,687.47"
"construcao_ferramentas_ferramentas","$17,934.17"
"fashion_roupa_masculina","$12,950.23"
"artigos_de_natal","$12,030.12"
"fashion_underwear_e_moda_praia","$11,457.74"
"tablets_impressao_imagem","$8,754.61"
"cine_foto","$8,189.66"
"dvds_blu_ray","$7,288.13"
"musica","$6,724.86"
"moveis_colchao_e_estofado","$5,998.54"
"livros_importados","$5,409.70"
"artigos_de_festas","$5,313.15"
"portateis_cozinha_e_preparadores_de_alimentos","$4,278.29"
"fashion_roupa_feminina","$3,425.39"
"fashion_esporte","$2,697.64"
"la_cuisine","$2,388.54"
"artes_e_artesanato","$2,184.14"
"fraldas_higiene","$2,141.27"
"pc_gamer","$1,679.52"
"flores","$1,598.91"
"casa_conforto_2","$1,170.58"
"cds_dvds_musicais","$954.99"
"fashion_roupa_infanto_juvenil","$665.36"
"seguros_e_servicos","$324.51"
