"customer_state","qtd_pedidos","qtd_clientes","porcentagem_clientes_por_estado"
"AC","2","2","40.00%"
"AC","3","2","40.00%"
"AC","6","1","20.00%"
"AL","2","20","83.33%"
"AL","4","3","12.50%"
"AL","5","1","4.17%"
"AM","2","5","50.00%"
"AM","3","3","30.00%"
"AM","4","1","10.00%"
"AM","5","1","10.00%"
"AP","2","8","80.00%"
"AP","3","1","10.00%"
"AP","5","1","10.00%"
"BA","2","251","78.93%"
"BA","3","38","11.95%"
"BA","4","15","4.72%"
"BA","5","6","1.89%"
"BA","6","7","2.20%"
"BA","11","1","0.31%"
"CE","2","77","74.04%"
"CE","3","16","15.38%"
"CE","4","5","4.81%"
"CE","5","3","2.88%"
"CE","6","3","2.88%"
"DF","2","153","76.12%"
"DF","3","30","14.93%"
"DF","4","10","4.98%"
"DF","5","2","1.00%"
"DF","6","6","2.99%"
"ES","2","131","76.61%"
"ES","3","28","16.37%"
"ES","4","8","4.68%"
"ES","6","4","2.34%"
"GO","2","161","77.03%"
"GO","3","33","15.79%"
"GO","4","6","2.87%"
"GO","5","1","0.48%"
"GO","6","2","0.96%"
"GO","7","1","0.48%"
"GO","9","1","0.48%"
"GO","11","2","0.96%"
"GO","15","1","0.48%"
"GO","20","1","0.48%"
"MA","2","47","79.66%"
"MA","3","4","6.78%"
"MA","4","5","8.47%"
"MA","5","1","1.69%"
"MA","6","2","3.39%"
"MG","2","873","77.05%"
"MG","3","157","13.86%"
"MG","4","53","4.68%"
"MG","5","25","2.21%"
"MG","6","21","1.85%"
"MG","7","2","0.18%"
"MG","12","2","0.18%"
"MS","2","60","75.95%"
"MS","3","12","15.19%"
"MS","4","4","5.06%"
"MS","5","1","1.27%"
"MS","6","2","2.53%"
"MT","2","78","74.29%"
"MT","3","17","16.19%"
"MT","4","5","4.76%"
"MT","6","5","4.76%"
"PA","2","50","66.67%"
"PA","3","18","24.00%"
"PA","4","5","6.67%"
"PA","5","1","1.33%"
"PA","6","1","1.33%"
"PB","2","35","76.09%"
"PB","3","5","10.87%"
"PB","4","2","4.35%"
"PB","5","1","2.17%"
"PB","6","3","6.52%"
"PE","2","85","73.28%"
"PE","3","21","18.10%"
"PE","4","9","7.76%"
"PE","5","1","0.86%"
"PI","2","23","67.65%"
"PI","3","8","23.53%"
"PI","4","2","5.88%"
"PI","5","1","2.94%"
"PR","2","386","76.44%"
"PR","3","62","12.28%"
"PR","4","28","5.54%"
"PR","5","13","2.57%"
"PR","6","13","2.57%"
"PR","7","1","0.20%"
"PR","12","1","0.20%"
"PR","15","1","0.20%"
"RJ","2","1015","77.78%"
"RJ","3","156","11.95%"
"RJ","4","83","6.36%"
"RJ","5","25","1.92%"
"RJ","6","21","1.61%"
"RJ","7","1","0.08%"
"RJ","8","3","0.23%"
"RJ","10","1","0.08%"
"RN","2","31","81.58%"
"RN","3","6","15.79%"
"RN","5","1","2.63%"
"RO","2","17","77.27%"
"RO","3","2","9.09%"
"RO","4","2","9.09%"
"RO","5","1","4.55%"
"RR","2","6","100.00%"
"RS","2","426","76.21%"
"RS","3","76","13.60%"
"RS","4","26","4.65%"
"RS","5","16","2.86%"
"RS","6","12","2.15%"
"RS","7","1","0.18%"
"RS","9","1","0.18%"
"RS","10","1","0.18%"
"SC","2","298","76.41%"
"SC","3","53","13.59%"
"SC","4","20","5.13%"
"SC","5","5","1.28%"
"SC","6","10","2.56%"
"SC","7","2","0.51%"
"SC","8","1","0.26%"
"SC","12","1","0.26%"
"SE","2","24","80.00%"
"SE","3","3","10.00%"
"SE","4","2","6.67%"
"SE","5","1","3.33%"
"SP","2","3233","76.58%"
"SP","3","566","13.41%"
"SP","4","211","5.00%"
"SP","5","96","2.27%"
"SP","6","84","1.99%"
"SP","7","14","0.33%"
"SP","8","4","0.09%"
"SP","9","1","0.02%"
"SP","10","6","0.14%"
"SP","11","1","0.02%"
"SP","12","1","0.02%"
"SP","13","1","0.02%"
"SP","14","2","0.05%"
"SP","20","1","0.02%"
"SP","21","1","0.02%"
"TO","2","21","77.78%"
"TO","3","5","18.52%"
"TO","6","1","3.70%"
